product_id,sku,name,description,category,manufacturer,size,color,material,cena_hurtowa,cena_detaliczna,stan,weight,ean,images
3597,ALCEROR2M #24,OBRĄCZKA,"OBRĄCZKA Z GŁADKIEJ CERAMIKI W KOLORZE RÓŻOWYM, 2mm.",Biżuteria/Srebro 925/Obrączki,AllSilver,24,,,14.00,53.38,3,1.530,,http://www.allsilver.pl/media/towary/big/b89c30965ebc74912de879f22da62dbf.jpg
24105,ALCEROR2M #14,OBRĄCZKA,"OBRĄCZKA Z GŁADKIEJ CERAMIKI W KOLORZE RÓŻOWYM, 2mm.",Biżuteria/Srebro 925/Obrączki,AllSilver,14,,,14.00,53.38,3,1.350,,http://www.allsilver.pl/media/towary/big/f5122fce80d998add6cc52c26495e207.jpg
51,ALCEROFWE #12,OBRĄCZKA,"OBRĄCZKA FASETOWANA,BIAŁA CERAMIKA,CYRKONIE,SREBRO RODOWANE, KÓŁKO OTWARTE DO PODWIESZENIA ELEMENTU",Biżuteria/Srebro 925/Obrączki,AllSilver,12,,,34.00,108.73,3,2.180,,http://www.allsilver.pl/media/towary/big/2838023a778dfaecdc212708f721b788.jpg
52,ALCEROFWE #14,OBRĄCZKA,"OBRĄCZKA FASETOWANA,BIAŁA CERAMIKA,CYRKONIE,SREBRO RODOWANE, KÓŁKO OTWARTE DO PODWIESZENIA ELEMENTU",Biżuteria/Srebro 925/Obrączki,AllSilver,14,,,34.00,108.73,3,2.280,,http://www.allsilver.pl/media/towary/big/9a1158154dfa42caddbd0694a4e9bdc8.jpg
53,ALCEROFWE #16,OBRĄCZKA,"OBRĄCZKA FASETOWANA,BIAŁA CERAMIKA,CYRKONIE,SREBRO RODOWANE, KÓŁKO OTWARTE DO PODWIESZENIA ELEMENTU",Biżuteria/Srebro 925/Obrączki,AllSilver,16,,,34.00,108.73,3,2.380,,http://www.allsilver.pl/media/towary/big/d82c8d1619ad8176d665453cfb2e55f0.jpg
54,ALCEROFWE #18,OBRĄCZKA,"OBRĄCZKA FASETOWANA,BIAŁA CERAMIKA,CYRKONIE,SREBRO RODOWANE, KÓŁKO OTWARTE DO PODWIESZENIA ELEMENTU",Biżuteria/Srebro 925/Obrączki,AllSilver,18,,,34.00,108.73,3,2.610,,http://www.allsilver.pl/media/towary/big/a684eceee76fc522773286a895bc8436.jpg
56,ALCEROFBE #12,OBRĄCZKA,"OBRĄCZKA FASETOWANA,CZARNA CERAMIKA,CYRKONIE,SREBRO RODOWANE, KÓŁKO OTWARTE DO PODWIESZENIA ELEMENTU",Biżuteria/Srebro 925/Obrączki,AllSilver,12,,,34.00,108.73,3,2.260,,http://www.allsilver.pl/media/towary/big/9f61408e3afb633e50cdf1b20de6f466.jpg
57,ALCEROFBE #14,OBRĄCZKA,"OBRĄCZKA FASETOWANA,CZARNA CERAMIKA,CYRKONIE,SREBRO RODOWANE, KÓŁKO OTWARTE DO PODWIESZENIA ELEMENTU",Biżuteria/Srebro 925/Obrączki,AllSilver,14,,,34.00,108.73,3,2.380,,http://www.allsilver.pl/media/towary/big/72b32a1f754ba1c09b3695e0cb6cde7f.jpg
58,ALCEROFBE #16,OBRĄCZKA,"OBRĄCZKA FASETOWANA,CZARNA CERAMIKA,CYRKONIE,SREBRO RODOWANE, KÓŁKO OTWARTE DO PODWIESZENIA ELEMENTU",Biżuteria/Srebro 925/Obrączki,AllSilver,16,,,34.00,108.73,3,2.560,,http://www.allsilver.pl/media/towary/big/66f041e16a60928b05a7e228a89c3799.jpg
59,ALCEROFBE #18,OBRĄCZKA,"OBRĄCZKA FASETOWANA,CZARNA CERAMIKA,CYRKONIE,SREBRO RODOWANE, KÓŁKO OTWARTE DO PODWIESZENIA ELEMENTU",Biżuteria/Srebro 925/Obrączki,AllSilver,18,,,34.00,108.73,3,2.440,,http://www.allsilver.pl/media/towary/big/093f65e080a295f8076b1c5722a46aa2.jpg
67,ALCEROFW #22,OBRĄCZKA,"OBRĄCZKA, BIAŁA CERAMIKA, FASETOWANA, 3MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,22,,,22.00,70.36,3,2.610,,http://www.allsilver.pl/media/towary/big/735b90b4568125ed6c3f678819b6e058.jpg
69,ALCEROFB #10,OBRĄCZKA,"OBRĄCZKA,CZARNA CERAMIKA,FASETOWANA.3MM",Biżuteria/Srebro 925/Obrączki,AllSilver,10,,,22.00,70.36,0,2.000,,http://www.allsilver.pl/media/towary/big/14bfa6bb14875e45bba028a21ed38046.jpg
74,ALCEROFB #20,OBRĄCZKA,"OBRĄCZKA,CZARNA CERAMIKA,FASETOWANA.3MM",Biżuteria/Srebro 925/Obrączki,AllSilver,20,,,22.00,70.36,0,2.460,,http://www.allsilver.pl/media/towary/big/ad61ab143223efbc24c7d2583be69251.jpg
78,ALCEROFS #14,OBRĄCZKA,"OBRĄCZKA FASETOWANA, CERAMIKA W KOLORZE SZAFIROWYM.3MM",Biżuteria/Srebro 925/Obrączki,AllSilver,14,,,25.00,79.95,0,2.130,,http://www.allsilver.pl/media/towary/big/35f4a8d465e6e1edc05f3d8ab658c551.jpg
91,ALCEROW3M #12,OBRĄCZKA,"OBRĄCZKA Z BIAŁEJ , GŁADKIEJ  CERAMIKI , SZER. 3MM .",Biżuteria/Srebro 925/Obrączki,AllSilver,12,,,13.00,49.57,3,2.080,,http://www.allsilver.pl/media/towary/big/54229abfcfa5649e7003b83dd4755294.jpg
92,ALCEROW3M #14,OBRĄCZKA,"OBRĄCZKA Z BIAŁEJ , GŁADKIEJ  CERAMIKI , SZER. 3MM .",Biżuteria/Srebro 925/Obrączki,AllSilver,14,,,13.00,49.57,0,2.160,,http://www.allsilver.pl/media/towary/big/92cc227532d17e56e07902b254dfad10.jpg
93,ALCEROW3M #18,OBRĄCZKA,"OBRĄCZKA Z BIAŁEJ , GŁADKIEJ  CERAMIKI , SZER. 3MM .",Biżuteria/Srebro 925/Obrączki,AllSilver,18,,,13.00,49.57,3,2.300,,http://www.allsilver.pl/media/towary/big/98dce83da57b0395e163467c9dae521b.jpg
94,ALCEROW3M #20,OBRĄCZKA,"OBRĄCZKA Z BIAŁEJ , GŁADKIEJ  CERAMIKI , SZER. 3MM .",Biżuteria/Srebro 925/Obrączki,AllSilver,20,,,13.00,49.57,3,2.800,,http://www.allsilver.pl/media/towary/big/f4b9ec30ad9f68f89b29639786cb62ef.jpg
536,ALCEROW3M #16,OBRĄCZKA,"OBRĄCZKA Z BIAŁEJ , GŁADKIEJ  CERAMIKI , SZER. 3MM .",Biżuteria/Srebro 925/Obrączki,AllSilver,16,,,13.00,49.57,0,2.330,,http://www.allsilver.pl/media/towary/big/65658fde58ab3c2b6e5132a39fae7cb9.jpg
