SKU,cena_hurtowa,cena_detaliczna,stan
CS-860BY #12,58.00,171.22,3
CS-860WY #12,58.00,171.22,3
CS-853BR #12,109.00,294.95,3
CS-853BR #14,109.00,294.95,3
CS-853BR #16,109.00,294.95,3
CS-853BR #18,109.00,294.95,3
CS-853WY #12,109.00,294.95,3
CS-853WY #14,109.00,294.95,3
CS-853WY #16,109.00,294.95,3
CS-853WY #18,109.00,294.95,3
CS-203BR #12,67.00,197.78,3
CS-203BR #14,67.00,197.78,3
CS-203BR #16,67.00,197.78,0
ALCER0002PBR #12,65.00,191.88,3
ALCER0002PBR #14,65.00,191.88,3
ALCER0002PBR #16,65.00,191.88,3
ALCER0002PBR #18,65.00,191.88,0
ALCER0002PBY #12,65.00,191.88,3
ALCER0002PBY #14,65.00,191.88,0
ALCER0002PBY #16,65.00,191.88,0
ALCER0002PBY #18,65.00,191.88,0
CS-007BY #12,35.00,111.93,3
CS-007BY #14,35.00,111.93,3
CS-007BY #16,35.00,111.93,3
CS-007BY #18,35.00,111.93,3
CS-048BR #12,53.00,156.46,3
CS-048BR #14,53.00,156.46,0
CS-048BR #18,53.00,156.46,0
CS-048BR #15,53.00,156.46,0
CS-048BR #16,53.00,156.46,0
ALCER0004PBR #12,45.00,132.84,3
ALCER0004PBR #14,45.00,132.84,0
ALCER0004PBR #16,45.00,132.84,3
ALCER0004PBR #18,46.00,135.79,3
ALCER0005PBR #12,61.00,180.07,3
ALCER0005PBR #14,61.00,180.07,3
ALCER0005PBR #16,61.00,180.07,3
ALCER0005PBR #18,61.00,180.07,3
ALCER0007PWR #12,53.00,156.46,3
ALCER0007PWR #18,53.00,156.46,0
ALCER0007PWR #20,53.00,156.46,0
ALCER0008PWY #14,43.00,126.94,0
ALCER0008PWY #16,43.00,126.94,0
ALCER0008PWY #12,43.00,126.94,3
ALCER0008PWY #18,43.00,126.94,0
ALCER0008PWY #20,43.00,126.94,0
ALCER0008PWY #10,43.00,126.94,3
ALCER0009PBR #12,47.00,138.74,0
ALCER0009PBR #18,48.00,141.70,0
ALCER0009PBR #20,48.00,141.70,0
ALCER0010PSY #14,31.00,99.14,3
ALCER0010PSY #16,31.00,99.14,3
ALCER0010PSY #18,31.00,99.14,3
ALCER0010PSY #20,31.00,99.14,3
ALCER0010PSY #24,31.00,99.14,3
CS-835WRS #12,42.00,123.98,0
CS-835WRR #12,42.00,123.98,3
CS-835WRR #14,42.00,123.98,3
CS-835WRR #16,42.00,123.98,3
CS-835WRE #12,42.00,123.98,0
CS-835WRE #14,42.00,123.98,3
CS-835WRE #16,42.00,123.98,3
CS-835WRE #18,42.00,123.98,3
CS-318WR #12,58.00,171.22,3
CS-318WR #13,58.00,171.22,3
CS-318WR #14,58.00,171.22,3
CS-318WR #15,58.00,171.22,3
CS-318WR #16,58.00,171.22,3
CR10199PWY #14,50.00,147.60,0
CS-208WR #12,51.00,150.55,3
CS-208WR #14,51.00,150.55,0
ALCER0012PWR #12,97.00,262.48,3
ALCER0012PWR #14,97.00,262.48,3
